geo,name,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
blr,Belarus,4998.83668,5110.12367,5249.29234,5578.83389,5984.92224,5979.91288,6294.07011,6092.4625,6528.15996,6745.34332,6778.85332,6491.21711,7246.56695,7580.68489,7876.99932,8153.63688,8563.92759,8618.03246,9211.70496,9381.53941,9359.14536,10065.51858,10220.91566,10378.71184,10538.94417,10701.65025,10866.86828,11034.63703,11204.9959,11590.99722,11993.30796,12483.15268,12783.21356,12794.0329,13021.49743,13059.02332,12904.89357,13663.80887,13133.98655,12882.9178,11552.94871,10592.44385,9315.67815,8319.6245,8542.84929,9518.13599,10324.30756,10683.31821,11318.10471,11878.88622,12526.02397,13472.64907,15091.04364,16600.19864,18353.86259,20011.91277
blz,Belize,2627.57494,2653.88178,2680.92901,2706.28417,2732.37381,2760.3691,2785.49791,2811.33656,2839.0328,2880.13008,2918.24245,2957.99568,3007.2973,3067.0754,3131.5104,3208.2861,3373.384,3482.33214,3590.74741,3726.35175,3800.25162,3687.73858,3941.06241,3881.79087,3775.50265,3853.00324,4069.56931,4128.09175,4194.47613,4373.85104,4205.09366,4281.4602,4571.76087,4502.52315,4707.85461,5508.5153,6092.18613,7008.38161,7813.02511,8570.70392,9483.40524,9901.51575,9722.61941,9573.33828,9422.18769,9506.54304,9555.7435,10117.25754,11031.56911,11261.79789,11548.02347,12326.98025,12578.82112,12529.80251,12761.70199,12847.1043
bol,Bolivia,4359.10287,3813.11236,3815.43203,3965.45895,3664.22593,3499.34681,3474.48403,3413.77706,3484.55504,3478.52627,3600.12238,3751.91808,3846.9332,3942.68871,4129.17314,4317.20377,4181.60103,4230.61978,4216.31321,4285.20884,4441.26987,4603.02419,4667.42113,4863.8057,5030.68737,5124.71969,5125.63806,4999.14097,4821.19094,4825.92635,4691.90921,4505.70826,4524.3656,4461.92617,4305.51287,4395.72069,4548.9244,4737.2744,4992.35571,5153.46557,5138.02442,5258.47946,5404.70405,5558.38215,5701.95432,5885.07522,6080.05529,6007.43338,6060.87479,6066.93577,6122.5081,6192.03689,6351.81087,6531.13931,6738.86198,6937.27474
bra,Brazil,3021.91739,3063.44918,3196.22345,3348.71693,3336.01678,3490.77292,3701.81201,3905.67188,4108.84488,4376.99152,4492.347,4448.77407,4460.94124,4489.5453,4593.31766,4662.53072,4986.1725,5232.52248,5615.26096,6072.76492,6608.21131,7322.94843,7702.77804,7881.99124,8455.77086,8634.58898,8821.45224,9166.34291,9746.89919,9578.17634,9755.22173,9450.11802,9964.85247,10745.86362,11479.33548,11862.693,11953.58367,12467.67976,11974.05883,11965.06046,11770.46976,12216.36535,12794.28506,13191.52124,13337.20955,13639.39084,13531.6709,13441.32405,13877.23439,13920.8243,14197.89149,14215.68904,14886.34538,15212.23538,15660.71617,16451.32711
brb,Barbados,4510.29363,4662.1327,4806.91345,5000.40812,5276.49386,5547.54704,5759.06384,5954.60321,6223.42374,6637.89821,6896.75742,6814.01287,7065.26214,7324.19378,7625.89467,8397.54333,9217.74695,10042.90446,11006.99101,11282.74794,11268.80483,11264.46993,10599.39583,10564.65312,10908.41964,11176.55989,11596.98236,12381.20001,12795.28743,13116.31514,12820.32607,13088.63834,13768.07094,14109.43403,14935.27475,15489.59304,16330.64521,17289.03642,17083.36508,16308.13475,15279.617,15310.62552,15542.83966,15794.43109,16372.40823,17105.08605,17710.66769,17743.62418,18548.02361,18080.68091,18119.64226,18418.65422,18595.68699,19260.31628,20363.39007,20728.77509
brn,Brunei,80476.25882,82038.9721,83628.34887,85245.36981,86892.27271,88567.46486,90271.89755,92005.24926,93769.71123,95546.17126,97353.17855,99191.64009,101059.97,102962.7801,104895.9978,106864.1975,108864.5474,110900.3526,112970.0072,118255.5821,124035.1956,129558.5337,137963.1405,132420.06,152425.3201,162217.3119,166516.5615,196472.3642,176249.2016,136538.396,137338.3939,133695.8215,130335.3444,124411.9412,115708.5016,115504.0867,115323.7197,115686.8502,116695.1293,116886.5801,112469.0835,109020.7557,107751.536,107108.8942,104982.3766,107334.5286,98939.50183,100555.5682,101598.6423,100990.246,102751.4651,104211.3871,102368.0208,100544.8503,102890.0897,97391.78044
btn,Bhutan,1093.29083,1100.50726,1107.62762,1114.65268,1121.58319,1129.64913,1136.38683,1144.24954,1152.00888,1163.28208,1176.81758,1190.19389,1203.41223,1216.47382,1230.55631,1243.30231,1257.06022,1270.65488,1284.08755,1269.62742,1237.09592,1209.32881,1225.64423,1141.62022,1197.97296,1244.44752,1285.10137,1299.17653,1317.8373,1516.94353,1616.01333,1736.11173,1851.55437,1923.3068,2076.48277,2521.06454,2800.00358,2991.49933,3332.64105,3273.82793,3524.84225,3716.5367,3910.88684,4230.69741,4459.91048,4626.78748,4817.11801,5096.58673,5180.90553,5451.89782,5904.19659,6243.53003,6452.59428,6795.21887,7099.1339,8164.68035
bwa,Botswana,671.63183,683.50376,694.03932,704.57112,715.09915,724.292,732.15038,743.99878,750.5201,774.03764,795.08488,810.58988,834.33157,823.88734,884.50748,990.07246,1092.13164,1134.65455,1233.99617,1512.36702,1851.42893,2167.53262,2268.85457,2360.56032,2501.72314,2646.4929,2830.4112,3104.16856,3353.44219,3782.57297,4276.49412,4717.3867,5102.78143,5465.33451,5813.57729,6466.24977,7713.86317,8687.46914,9377.62142,9915.06233,10027.58978,10028.72605,10202.94949,10730.52132,11172.17407,11911.13165,11792.3164,12743.23315,12805.35493,12650.07463,13235.91825,13667.95523,13847.1077,14266.72898,15214.66543,15834.79471
caf,Central African Republic,1650.61345,1673.67533,1696.22733,1718.27646,1738.6643,1758.58276,1779.18399,1795.90153,1764.90321,1788.4534,1680.81358,1632.21285,1612.44856,1576.47412,1520.84212,1524.36454,1504.786,1555.00956,1557.26076,1466.41435,1398.80672,1425.78374,1347.02835,1331.36255,1347.72879,1411.52631,1383.39935,1303.86805,1203.29169,1321.7318,1309.24418,1222.12465,1318.53739,1349.84774,1401.88552,1368.49347,1397.78323,1445.80368,1447.41467,1404.6979,1292.78726,1254.9389,1277.18117,1328.33636,1234.73884,1268.30531,1293.54911,1309.98937,1251.66767,1272.83459,1284.59771,1185.51422,1227.64332,1214.27096,1247.43849,1280.71356
can,Canada,15699.22157,15928.21066,15270.28667,16180.62199,17026.0624,16840.15024,16609.49236,16802.3386,16868.0057,16932.30603,17687.87322,18153.54611,18881.46513,19669.17274,20479.94406,20596.96626,21237.07724,21930.93115,22080.97828,22714.38242,23490.03126,24662.42755,25076.34936,25045.71822,25982.84273,26403.56742,26978.13298,27586.84234,27604.60684,29536.39993,29187.24591,30282.24445,32370.08924,34269.62462,35099.24237,36599.37303,38619.4269,39872.3923,40388.54831,39082.65512,38995.66778,39618.65062,40976.69364,41665.45111,41942.68596,43322.85132,44649.83236,46579.77942,48531.94581,48907.58879,49832.67542,50273.67479,51339.96742,52476.82097,53301.87205,53848.94902
che,Switzerland,16450.02566,17059.49681,18012.35161,19152.94079,19950.85545,20268.56433,20098.7733,21235.42637,22437.85557,23729.41233,24361.38424,25193.80561,26202.20195,26966.91019,27505.21895,28160.11997,28982.45515,30235.27498,31863.78266,33094.98545,34109.4135,34959.16754,34933.3035,32786.98397,32739.05952,33613.64171,34174.25912,34953.90317,36295.72045,38702.86229,39657.68726,40875.88287,42783.61018,45297.56304,47219.87737,48925.01332,51498.8352,54837.71535,58149.84624,57458.04466,57328.27953,57232.46487,57970.654,58305.71879,58754.76715,60341.2315,62354.18708,63439.414,65911.90228,66819.6546,66551.52824,66274.24755,67806.4892,69407.28865,71913.81445,74172.04891
chl,Chile,7434.51917,7777.07133,7268.80182,7338.72744,7194.41721,7622.35365,7755.20854,7152.64265,7537.58237,7629.27358,7721.04841,7941.58421,7859.3653,7677.37097,8280.55974,8300.72866,8351.13032,8419.5652,8360.09347,8875.37411,8546.46454,7868.56528,7748.38677,6581.96506,6653.00199,7137.38337,7543.62274,7979.86207,8417.02994,9188.79817,8037.16469,7817.95385,8280.77272,8433.43664,8818.05511,9342.97866,10044.52954,11176.20927,11657.76447,12295.5406,13444.56199,14060.3747,14501.62343,15580.62376,16394.76026,17277.31579,17670.68405,17326.0901,17899.00288,18203.3168,18507.13745,19112.96786,20129.54922,21053.24367,22076.29454,22953.69623
chn,China,1062.06484,1148.44221,1019.42989,1064.12798,1105.31703,1087.44801,1050.66258,982.92181,913.00394,735.98485,759.59164,827.96638,899.18778,954.26984,938.17019,899.03233,835.41921,875.35947,947.25549,969.26045,929.05209,957.52226,941.92681,966.91149,900.91013,917.7058,987.54047,1027.66388,1041.07576,1103.43737,1206.9491,1301.75535,1465.33753,1617.48636,1714.54325,1865.27285,2024.75043,2083.12405,2137.8588,2245.284,2464.10795,2721.46116,2977.68725,3222.91661,3453.8791,3664.53963,3841.82319,4055.66148,4330.14292,4616.19699,4970.91269,5389.66196,5859.59286,6453.21746,7186.97235,8108.53713
civ,Cote d'Ivoire,2323.7151,2363.28586,2404.31154,2444.07575,2485.29867,2526.62133,2566.67795,2595.88967,2741.57113,2930.60322,2914.66381,3237.78283,3677.40647,3442.0958,3591.21679,3509.33696,3854.90547,3878.66687,4073.09591,4159.98557,4173.61144,4272.60995,4241.01949,4232.76929,4549.78897,4577.60935,4835.87521,4740.33338,4405.9324,4672.88257,4683.64226,4459.00322,4324.05582,4440.82213,4534.1513,4422.75805,4483.29605,4543.44383,4382.00012,4270.57637,4162.37855,4052.779,3973.74492,4136.58843,4348.17291,4617.22563,4702.02738,4657.74466,4549.02362,4385.22538,4196.07952,3941.89109,3987.0524,3956.21195,3990.13542,3960.4846
cmr,Cameroon,1519.532,1556.56185,1595.03369,1633.59337,1672.24104,1710.97686,1749.80097,1788.71353,1812.67741,1809.11121,1835.44762,1871.5089,1907.55869,1931.1579,1989.05324,1899.76133,1988.29004,2032.1074,2068.44162,2079.58306,2105.82963,2115.53159,2144.67216,2183.57652,2081.05552,2215.95673,2452.54838,2521.62082,2719.18103,3261.61845,3551.0292,3794.55537,4076.34437,4404.21027,4660.52895,4485.07744,4181.81082,4029.75987,3848.34316,3640.51066,3469.10769,3178.52095,3149.47839,3188.06737,3270.37288,3364.34086,3462.45081,3551.12885,3621.82516,3709.02314,3796.465,3916.11892,4093.34117,4096.94001,4160.88698,4242.1752
cod,"Congo, Dem. Rep.",1515.60571,1592.96501,1659.91195,1709.85754,1795.11,1815.39251,1738.92081,1765.00387,1809.35299,1591.73582,1847.96463,1880.9545,1822.31198,1789.61303,1868.23331,1802.89245,1847.2109,1960.9554,1911.9041,1986.37842,1946.56593,2064.1815,2084.46967,1936.90458,1787.71301,1757.97645,1620.94448,1585.03816,1583.39289,1653.94575,1666.2212,1691.17824,1775.41164,1777.66353,1842.43747,1878.32116,1888.55282,1876.48943,1781.63771,1604.51664,1411.96435,1197.77923,1111.42569,1094.0399,1073.67808,1006.13549,971.9337,910.95457,828.85463,794.37406,800.59337,828.0398,864.96169,896.68398,921.55178,955.42186
cog,"Congo, Rep.",2306.03302,2344.50585,2382.85876,2421.09202,2456.59806,2491.99277,2529.87649,2566.34353,2591.03068,2719.61049,2702.62388,2654.1796,2673.57781,2704.73993,2782.05926,2925.41658,3049.83401,3198.86575,3377.23557,3589.94877,3642.4046,4163.47864,4021.19915,3879.64111,3954.15586,3565.47417,3679.4546,3984.20307,4369.01099,4925.88371,5475.80576,5633.10218,5816.85796,5815.96324,5663.66097,5685.30238,6518.33181,7354.28923,7454.49302,7522.95485,7603.79419,7401.64802,6872.5419,7028.46819,7236.19261,7084.17856,7254.4834,6939.87824,7242.9104,7294.20583,7502.37544,7398.52442,7436.93638,7763.52189,8098.86813,7334.53258
col,Colombia,4376.61869,4486.15766,4625.84306,4631.91539,4624.46782,4580.59776,4500.746,4634.78476,4666.8532,4727.30237,4788.61863,4759.16591,4896.68344,4847.31054,4928.66353,4952.8284,5086.43126,5237.52215,5415.05439,5558.35379,5805.4328,6017.2825,6183.07798,6148.45304,6259.91846,6343.92182,6699.59605,6867.41031,6949.00403,7278.67206,7413.08399,7510.90404,7744.75951,8094.87593,8485.8215,8881.73572,9254.63338,9615.12757,10076.56366,10077.77018,10282.19211,10627.04596,11007.84461,11360.93228,11383.98264,11569.62746,11426.77857,10758.89168,10888.18673,10894.52373,10992.22787,11245.90019,11665.76625,12049.36378,12679.47727,13353.26412
com,Comoros,733.38804,748.02488,771.7735,778.47027,790.36248,800.91555,803.63345,829.71378,880.34954,884.33863,953.43301,1103.09863,1169.25312,1142.63217,1232.50125,1281.50753,1250.60928,1218.75318,1251.21098,1271.97228,1266.8129,1324.44832,1326.43105,1372.32816,1332.3215,1306.39321,1299.79309,1375.78185,1429.82431,1542.6863,1642.40264,1707.1524,1795.2097,1834.54069,1854.52454,1879.49125,1962.29483,1951.30479,2069.78692,1970.96424,2114.42547,2155.46837,2020.8948,2072.25939,2024.47895,2083.98945,2087.14812,2101.98632,2273.33458,2294.63481,2314.18283,2332.14917,2346.10974,2377.91779,2416.55885,2398.29711
